店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
こだわりの個室でおもてなし?食楽厨房 センター南店,050-5487-6137,,神奈川県,横浜市都筑区茅ヶ崎中央,43-9,,,TRUE
日本料理 九段うお多 市ヶ谷,050-5484-6325,,東京都,千代田区九段南,4-6-6,,,TRUE
味の民芸?東久留米滝山東店,050-5484-5945,,東京都,東久留米市前沢,5-1-20,,,TRUE
京都南禅寺 大力邸,075-752-4334,,京都府,京都市左京区南禅寺草川町,81,,,TRUE
お好み焼本舗向山店,050-5489-1589,,愛知県,豊橋市つつじが丘,2-6-21,,,TRUE
鉄なべ餃子と焼きとり 大衆酒場みのる,077-563-0009,,滋賀県,草津市大路,1-15-36,,,TRUE
梅の花?金沢店,050-5487-9146,,石川県,金沢市戸水,1-101,,,TRUE
和食麺処サガミ豊田上野店,050-5494-1682,,愛知県,豊田市上野町,6-106-1,,,TRUE
しゃぶしゃぶ・日本料理木曽路 刈谷店,050-5485-9790,,愛知県,刈谷市東新町,2-104,,,TRUE
杏子,050-5485-7326,,神奈川県,横浜市都筑区中川中央,1-37-6,,,TRUE
味の民芸?高島平店,050-5485-2740,,東京都,板橋区高島平,1-8-2,,,TRUE
和食麺処サガミ木場店,050-5494-1583,,愛知県,名古屋市港区木場町,8-125,,,TRUE
海湘丸?湘南台店,050-5485-9327,,神奈川県,藤沢市石川,1-9-5,,,TRUE
Ryukyu Dining 家守家YAMORIYA,050-5492-4887,,沖縄県,名護市東江,5-14-24-1,F,,TRUE
日本料理 翡翠,050-5487-6030,,三重県,桑名市長島町駒江漆畑,270,,,TRUE
藍屋 蕨中央店,0570-012-347,,埼玉県,蕨市中央,2-15-2,,,TRUE
和食麺処サガミ四日市ときわ店,050-5494-1647,,三重県,四日市市ときわ,2-11-29,,,TRUE
しゃぶしゃぶ・日本料理?木曽路堀田店,050-5494-5255,,愛知県,名古屋市瑞穂区神穂町,6-50,,,TRUE
海物語?本店,050-5487-2278,,沖縄県,国頭郡恩納村字名嘉真,2246,,,TRUE
和食麺処サガミ新川店,050-5494-1591,,愛知県,清須市寺野字美鈴,1,,,TRUE
お好み焼き ねぎ庵 紙屋町店,050-5484-0341,,広島県,広島市中区基町,13-13,,,TRUE
和食鍋処 すし半?川西店,050-5487-5767,,兵庫県,川西市小花,1-11-13,,,TRUE
夢庵 都留店,050-5492-6040,,山梨県,都留市上谷,4-2-8,,,TRUE
藍屋 諏訪店,0570-012-347,,長野県,諏訪市大字四賀赤沼,1738-1,,,TRUE
唯一無二,050-5486-2180,,神奈川県,横浜市西区南幸,1-2-1,,,TRUE
和食麺処サガミ武豊店,050-5494-1620,,愛知県,知多郡武豊町字浅水,1-3,,,TRUE
かに料理 横浜甲羅本店,050-5485-1113,,神奈川県,横浜市都筑区牛久保西,2-26-27,,,TRUE
梅の花?水戸店,050-5485-2439,,茨城県,水戸市笠原町,1971-1,,,TRUE
魚マルシェ?2号店,050-5486-5222,,福岡県,北九州市小倉北区京町,1-2-9,,,TRUE
個室・地鶏・地酒絆−KIZUNA− 三宮本店,050-5486-3484,,兵庫県,神戸市中央区北長狭通,1-9-1,,,TRUE
完全個室居酒屋　串菜〜KUSHINA〜神戸三ノ宮本店,050-5487-7301,,兵庫県,神戸市中央区北長狭通,2-11-5,,,TRUE
藍屋 諏訪店,0570-012-347,,長野県,諏訪市大字四賀赤沼,1738-1,,,TRUE
唯一無二,050-5486-2180,,神奈川県,横浜市西区南幸,1-2-1,,,TRUE
和食麺処サガミ武豊店,050-5494-1620,,愛知県,知多郡武豊町字浅水,1-3,,,TRUE
個室居酒屋 炭火焼き鳥×海鮮結鶏丸−ゆいとまる− 水道橋店,050-5489-4882,,東京都,千代田区神田三崎町,2-20-10,,,TRUE
かに料理 横浜甲羅本店,050-5485-1113,,神奈川県,横浜市都筑区牛久保西,2-26-27,,,TRUE
梅の花?水戸店,050-5485-2439,,茨城県,水戸市笠原町,1971-1,,,TRUE
和食麺処サガミ大府店,050-5494-1577,,愛知県,大府市追分町,1-64,,,TRUE
ホテルグランヴィア岡山 日本料理 吉備膳,050-5488-1848,,岡山県,岡山市北区駅元町,1-5,,,TRUE
藍屋 久が原店,0570-012-347,,東京都,大田区久が原,5-14-14,,,TRUE
お好み焼き・鉄板焼き こて吉?上野の森さくらテラス店,050-5488-4468,,東京都,台東区上野公園,1-54,,,TRUE
山内農場?柳井駅前店,0820-22-2588,,山口県,柳井市中央,2-16-10,,,TRUE
味の民芸?相模原並木店,050-5485-3218,,神奈川県,相模原市中央区並木,1-8-20,,,TRUE
地鶏炭火焼き 鳥人（とりんちゅ）個室×地鶏串,050-5493-7595,,福島県,福島市置賜町,4-12,,,TRUE
ふく・長州料理 KATSUMOTO,050-5485-9742,,山口県,下関市田中町,8-11,,,TRUE
鳥居本?遊山,050-5484-7071,,京都府,京都市右京区嵯峨鳥居本一華表町,6-3,,,TRUE
和食麺処サガミ守山大永寺店,050-5494-1599,,愛知県,名古屋市守山区大永寺町,229,,,TRUE
昼だけ間借り 石山うなぎ,050-8884-4996,,滋賀県,大津市栄町,3-4,,,TRUE
和食麺処サガミ四日市羽津店,050-5494-1584,,三重県,四日市市八田,3-2-26,,,TRUE
四季亭,050-5492-8289,,茨城県,鹿嶋市宮中,6-5-15,,,TRUE
